country_name,country_code,Year,Renewables (% electricity),Urban population (% of total population),Total water withdrawal per capita,undernourishment_prevalence,Arable land (% of land area),Arable land (hectares per person),Government Expenditure (IMF based on Mauro et al. (2015)),"GDP per capita, PPP (constant 2017 international $)",Deaths - Unsafe water source,Gender wage gap (%),Population,"Health expenditure, total (% of GDP)",Human Development Index - undp_hdi,population below poverty line
Poland,POL,2017,14.195395,60.105,305,3.1,35.621673,0.287217,44.49921,21543.1637,0.107407,0,37846605,6.350246,0.829136,0
Portugal,PRT,2017,39.123719,64.652,1075,3.1,10.305149,0.091649,47.36421,32251.5691,0.061215,0,10196707,9.501076,0.819367,0.410496
Qatar,QAT,2017,0.28726,99.078,463.3,3.1,1.218451,0.005138,27.318639,92749.55666,0.160811,0,2881060,2.187062,0.843662,12.73759541
Romania,ROU,2017,37.977874,53.936,422,3.1,37.130563,0.436118,38.94792,19833.96787,0.234004,0,19237682,5.565009,0.784498,3.072256
Russia,RUS,2017,18.06038,74.292,455.9,3.1,7.428098,0.841881,33.675861,23647.26651,0.106953,0,145934460,7.070408,0.782934,0.043294
Rwanda,RWA,2017,55.909695,17.125,17.57,34.9,46.684232,0.096128,23.595587,1287.048412,40.604192,0,12952209,7.531551,0.453282,56.31575
andPrincipe,STP,2017,8.235294,71.968,682.5,12.1,4.166667,0.019316,40.347735,3080.798742,9.058806,0,219161,8.353466,0.543571,35.63854
SaudiArabia,SAU,2017,0.044937,83.622,682.5,4.8,1.598835,0.103833,32.917694,43865.92031,0.782511,0,34813867,4.684085,0.804673,12.73759541
Senegal,SEN,2017,11.902846,46.74,213.8,9.6,16.620786,0.207531,28.093897,2754.192237,56.170099,0,16743930,4.664972,0.455779,30.58825
Serbia,SRB,2017,26.496898,55.942,682.5,4.3,29.670707,0.369613,46.110565,13846.28238,0.155858,0,8737370,10.368812,0.757469,5.405214
Seychelles,SYC,2017,0.702576,56.261,682.5,3.1,0.326087,0.001565,48.056949,21511.41316,1.773078,0,98340,3.369817,0.743078,0.596814
SierraLeone,SLE,2017,63.926941,41.636,42.72,26.8,21.945137,0.211526,14.893394,1321.512851,77.089899,0,7976985,11.089902,0.387506,43.99224
Singapore,SGP,2017,3.301102,100,682.5,3.1,0.789845,0.0001,12.097736,74159.38738,0.033021,0,5850343,4.922792,0.897088,12.73759541
Slovakia,SVK,2017,23.940771,53.751,203.2,5.8,27.932612,0.24691,31.751335,24127.88468,0.080829,0,5459643,8.054048,0.827445,0.747223
Slovenia,SVN,2017,27.683717,54.273,452.3,3.1,9.13691,0.089044,41.257537,34912.84718,0.027886,0,2078931,9.233886,0.875823,0
SolomonIslands,SLB,2017,6.863584,23.286,682.5,12.3,0.714541,0.031445,46.079092,2220.379216,11.763167,0,686878,5.051063,0.494278,22.7556
SouthAfrica,ZAF,2017,4.235572,65.85,276.4,5.5,9.892094,0.21049,30.82284,12402.04946,22.296516,0,59308690,8.796985,0.6433,19.0491
Spain,ESP,2017,32.21993,80.08,859.5,3.1,24.529741,0.262995,40.82029,39520.82227,0.031839,0,46754783,9.029887,0.866617,0.687757
SriLanka,LKA,2017,30.945194,18.384,682.5,7.8,21.33036,0.061565,28.621774,7865.368304,2.657629,0,21413250,3.50335,0.73825,0.821695
Suriname,SUR,2017,49.716562,66.041,1378,8.4,0.397436,0.108676,24.406433,17284.62734,5.811922,0,586634,5.68747,0.707432,19.36712
Sweden,SWE,2017,57.882783,87.146,300.3,3.1,6.29496,0.254929,52.70869,48557.38435,0.06409,0,10099270,11.92984,0.901034,0.24835
Switzerland,CHE,2017,65.573215,73.761,347.7,3.1,10.076518,0.047112,33.55743,65641.71061,0.026266,0,8654618,11.659269,0.92437,0
Tajikistan,TJK,2017,94.843811,26.982,1867,3.1,5.166799,0.080752,28.456527,2133.494009,9.715336,0,9537642,6.880884,0.607725,2.795767
Tanzania,TZA,2017,35.136163,33.053,144.6,24.5,15.240461,0.24698,24.28058,1848.985478,40.96301,0,59734213,5.580116,0.499915,49.12689
Thailand,THA,2017,14.939828,49.2,682.5,8.9,32.903365,0.242885,21.84766,13460.06056,3.982108,0,69799978,4.122164,0.715838,0.029848
Togo,TGO,2017,15.802309,41.162,32.87,21.1,48.722192,0.344224,22.52686,1513.161163,55.553181,0,8278736,5.246877,0.4594,47.90359
Tonga,TON,2017,0,23.169,682.5,3.1,27.777778,0.196075,24.12631,5232.31671,2.781415,0,105697,5.176771,0.71292,0.583986
andTobago,TTO,2017,0.053554,53.205,245.7,5.7,4.873294,0.018063,31.632943,28700.88299,1.355788,0,1399491,5.933197,0.771703,0.276737
